Title,Release Date,Anime Type,Episode Count,Genres,Summary
3-Choume no Tama: Uchi no Tama Shirimasenka? (1994),"03.04.1994 - 25.09.1994
				","('TV Series',)",26 eps,['game'],"The characters are the cats Tama, Momo, Gon, Beh, Koma, Tora, Nora and Kuro and the dogs Pochi and Bull. There is no consistent plot. Tama and his friends just have little, family friendly adventures every episode. The only consistency is when a new friend is made one episode and flashbacks.Source: ANNNote: The OVA episodes, as well as an additional three episodes, aired on TBS and MBS from July 3, 1993 to August 28, 1993.
"
3-D Tengoku,"??.10.1988
				","('Music Video',)",1 ep,[],"A music video for song by Psy-S for the Minna no Uta song program.
				"
3-nen D-gumi Glass no Kamen,"03.10.2016 - 26.12.2016
				","('TV Series',)",13 eps,"['comedy', 'parody', 'school life', 'short episodes']","To ""warm up"" cold hearts of modern people, Maya, Ayumi, Chigusa, and Yuu have teleported from the universe of Glass Mask to a modern high school, trying to ignite the passion of drama among high schooler nowadays. School director Masumi, however, thinks otherwise.Source: ANN
"
3-nen D-gumi Glass no Kamen: Tobidase Watashitachi no Victory Road,"22.07.2017
				","('Movie',)",1 ep,[],"Note: this was a VR film presented on stage, with the characters projected onto it with holographic technology. The same technology has been employed to allow for Hatsune Miku live concerts.
"
30-sai made Doutei da to Mahou Tsukai ni Nareru Rashii,"11.01.2024 - 28.03.2024
				","('TV Series',)",12 eps,"['bishounen', 'daily life', 'josei', 'manga', 'romance', 'shounen ai']","* Based on a BL romantic comedy manga by Toyota Yuu.Adachi, a thirty-year-old virgin, has developed the power to read people's minds by touching them. After a brush with his very handsome colleague, Adachi realizes the guy has a raging crush on none other than Adachi himself!Source: Square EnixNote: The first two episodes received an early screening at a special event on December 3, 2023 at Grand Cinema Sunshine Ikebukuro in Tokyo. The regular TV broadcast started on January 11, 2024.
"
30-sai made Doutei da to Mahou Tsukai ni Nareru Rashii Tokubetsu Henshuuban,"13.12.2024
				","('Movie',)",1 ep,[],"* Based on a BL romantic comedy manga by Toyota Yuu.
				"
30-sai no Hoken Taiiku,"07.04.2011 - 23.06.2011
				","('TV Series',)",12 eps,"['comedy', 'daily life', 'ecchi', 'half-length episodes', 'nudity', 'romance', 'seinen', 'sex']","* Based on Mitsuba and Ichijinsha's 30-sai no Hoken Taiiku (Health and Physical Education for 30-Year-Olds) guidebook. The guide is aimed at men in their 30s who have not experienced romance or sex with women yet.Imagawa Hayao is a 30 year-old virgin bachelor. One day, a cupid descends from heaven with the express purpose of forcing him to graduate from virginity. Thus unfolds a pure love story between a 30 year-old bachelor and a 30 year-old bachelorette.~ translated and adapted from official site by Cranston
"
30th Gundam Perfect Mission,"25.08.2009
				","('OVA',)",1 ep,"['mecha', 'new', 'piloted robot', 'science fiction', 'short movie']","* A short promotional video released in celebration of the 30th anniversary of the Gundam series. It was included on Gundam OP/ED Collection 20th and 21st Century song collection DVDs.An FF-X7 is guided into orbit with the assistance of every main protagonist Gundam for the first thirty years of the franchise's history.
				"
3D Kanojo: Real Girl,"04.04.2018 - 20.06.2018
				","('TV Series',)",12 eps,"['high school', 'manga', 'romance', 'school life', 'shoujo']","* Based on a romantic comedy manga by Nanami Mao.Tsutsui Hikari (a.k.a ""Tsuttsun"") is a high school student who is content with his virtual life of anime and video games. One day, he gets stuck cleaning the pool with Igarashi Iroha, a real live girl who is stylish, sassy and known to be easy with boys ... and she aggressively approaches him! Tsuttsun, who has few friends and lives in his own world, finds himself smitten by the confident and wild Iroha ... and his whole world is turned upside down!! It's the awkward and pure love story of a boy who experiences relationship for the first time.Source: kodansha comicsNote: The first episode received an early screening at a special event held at Space FS Shiodome on 31.03.2018.
"
3D Kanojo: Real Girl (2019),"09.01.2019 - 27.03.2019
				","('TV Series',)",12 eps,"['manga', 'romance', 'school life', 'shoujo']","* Based on a romantic comedy manga by Nanami Mao.An emo otaku like Hikari managed to get a girlfriend. It's been a real whirlwind. His love skills are so pathetically weak that after starting dating he kept making her mad, making her cry, hurting her feelings... the most worthless boyfriend. But... somehow they still manage to stick together.
				"
3x3 Eyes,"25.07.1991 - 19.03.1992
				","('OVA',)",4 eps,"['action', 'demon', 'fantasy', 'horror', 'manga', 'seinen', 'violence']","Pai is the last of the Sanjiyan -- a magical race of 3-eyed creatures, and she comes in search of Tokyo high-school student Yakumo with news of his father's death and hopes of becoming human. After a fatal accident, Pai is forced to absorb Yakumo's soul to keep him from dying, making him an undead creature bound to her. Their journey to make Pai human becomes complicated with dark forces seeking to stop them, especially when Pai's crueler nature emerges...
				"
3x3 Eyes: Seima Densetsu,"25.07.1995 - 25.06.1996
				","('OVA',)",3 eps,"['action', 'contemporary fantasy', 'demon', 'fantasy', 'horror', 'manga', 'seinen', 'violence']","Pai is the last of the Sanjiyan: an ancient magical race with three eyes. After meeting Yakumo's father, she wanted to become human. Now, after the cliffhanger in the first series, Pai is a schoolgirl with best friends and no memory of who she was. Her normal life suddenly changes when Yakumo, whose soul is bound to hers after she turned him into an immortal undead, finally finds her. Evil forces try to chain Pai's power and keep her from remembering who she was, as the battles are taken to the ancient lands of the Sanjiyan.
				"
4 Eyes,"??.??.1975
				","('Movie',)",1 ep,['short movie'],"Short movie by Tanaami Keiichi.
				"
4-Day Weekend,"18.12.1998
				","('Music Video',)",1 ep,[],"4 Day Weekend is a clip produced by Koji Morimoto of Studio 4°C for the song of the same name by the English group The Bluetones. An animation which once again mixes 2d animation and computer graphics. The originality of this song of Bluetones is that it was only distributed via the Internet, and was never played on radio.The clip was produced by the English company Nexus Films (specialized in advertising animation), and it gained ""Best Music Video"" in Holland Animation Festival 98.
				"
44-hiki no Neko,"??.??.1969
				","('Music Video',)",1 ep,[],"The Japanese version of the 1968 '44 Gatti,' an Italian song from the TV program Zecchino D'Oro. It was introduced in the Japanese NHK TV program 'Minna no Uta' in 1969.
				"
47 Todoufuken R,"12.01.2014 - 30.03.2014
				","('TV Series',)",12 eps,['short episodes'],"The anime series follows the comic interactions between dogs representing 47 todoufuken (prefectures) of Japan. Each dog is voiced by a voice actor hailing from the respective prefecture; also, each dog's design has a motif of the region's specialty.Source: ANNNote: the anime was aired together with Nyamen as a part of a programme called Inu Neko Hour.
"
48x61,"??.??.2003
				","('Web',)",1 ep,"['bicycling', 'comedy', 'new', 'short movie', 'sports']","48x61 is a short movie made by the famous director Rintarou for the Japanese manga artist and director Katsuhiro Otomo. It was produced by studio Madhouse.This movie was made when Rintarou was 61 years old and Katsuhiro 48 years old. Hence the title.Main characters in this movie are Rintarou and Katsuhiro. The story is about a bicycle race between the two them.Description by XellosPLNote: This anime short was released on DVD as a bonus of the Steamboy Starter Kit (reference BCBA-1966)
"
5-tou ni Naritai.,"10.10.1995
				","('Movie',)",1 ep,"['daily life', 'elementary school', 'kodomo', 'mina', 'novel', 'school life']","This is a story of a girl born with a bad leg. Ritsuko longs to go to school and make lots of friends, but this proves as not so easy. Her mother is very protective of her, and she is teased by her classmates, because of her disability. Will she manage to keep her smile?
				"
6 Angels,"20.11.2001 - 06.07.2002
				","('Web',)",6 eps,"['action', 'android', 'gunfights', 'half-length episodes', 'mecha', 'military', 'new', 'science fiction', 'violence']","In the near future, the death penalty has been revoked worldwide. Therefore, criminals are sent to an underground prison set in the impact crater of a nuclear site somewhere in the United States, known as Neo Purgatory. A group of women, known as the Guard of Rose, is caught in the crossfire when the mysterious villain Donn Canyon launches his mission to ""purify the world"" with radiation...Can Maki, Naomi, Doris, Marilyn, and Katherine save the human race from utter annihilation? Or will the Canyon family succeed in browbeating the world's superpowers to accept their fate?Source: themanime.org
"
6 Heart Princess,"04.10.2013
				","('Music Video',)",1 ep,"['idol', 'magical girl', 'music']","Pink or Black?Every woman has duality in her.Nice vs NaughtyInnocent vs SexyTransform into your other self!In collaboration with Takashi Murakami's animation work, shu uemura introduces the holiday collection themed on the ""dual beauty"" of the pink and black princess. Every woman has pink side and black side in her, nice and naughty, innocent and sexy. Play with fascinating multi-faceted beauty and freely transform yourself from pink to black, black to pink.
				"
6 Lovers,"27.02.2021
				","('OVA',)",6 eps,[],No summary available.
663114,"??.09.2011
				","('Other',)",1 ep,['short movie'],"Hirabayashi Isamu's 663114 is a short but hard-hitting monologue of a 66-year-old cicada. The insect draws parallels between the catastrophes of Hiroshima and Fukushima and poses a fundamental question about the future of our planet. 663114 won the Noburou Oofuji Award at the Mainichi Film Awards in February 2012.
				"
6HP,"30.12.2016 - 21.09.2019
				","('TV Special',)",7 eps,"['action', 'high school', 'loli', 'magical girl', 'new', 'parallel world', 'school clubs', 'school life', 'super power']","Note: The first air of the first episode was in an incomplete state with some scenes missing, the complete version was broadcasted on 23.09.2017.
"
7 Seeds,"28.06.2019
				","('Web',)",12 eps,"['josei', 'manga', 'post-apocalyptic', 'violence']","* Based on a sci-fi shoujo manga drawn by Tamura Yumi. It was serialized in Shogakukan's Bessatsu Shoujo Comic and Gekkan Flowers from November 2001 to July 2017 with 35 volumes.In the immediate future, a giant meteorite has collided with earth. All living organisms, including mankind, have been wiped off the face of the planet. The government, who had foreseen this outcome, took measures to counter the worst-case scenario. In particular was Project ""7 SEEDS"", in which five sets of seven gifted young men and women were carefully selected and placed into teams (Spring, Summer A, Summer B, Autumn and Winter). Each participant was then put under cryogenic sleep in hopes of preserving the continued existence of mankind.When those men and women awoke, they found themselves suddenly thrust into a cruel world. While bereft and grieved over forever losing their loved ones, they sought to find ways to survive.Source: M-U
"
7 Seeds (2020),"26.03.2020
				","('Web',)",12 eps,"['josei', 'manga', 'post-apocalyptic', 'violence']","* Based on a sci-fi shoujo manga drawn by Tamura Yumi. It was serialized in Shogakukan's Bessatsu Shoujo Comic and Gekkan Flowers from November 2001 to July 2017 with 35 volumes.A meteor strike has left the world a shattered shell of what it once was, but a government initiative involving cryogenics has given humanity a fighting chance. To date, the subjects of the 7SEEDS project have survived giant insects, post-apocalyptic weather, ferocious animals, and the greatest danger of all: other survivors, all of whom will do anything to live another day. But the 7SEEDS project's chosen few aren't safe yet, and the monumental mission of rebuilding society has only just begun.Source: Sentai Filmworks
"
77 Danui Bimil,"??.??.1978
				","('Movie',)",1 ep,['action'],"A young man is looking for his kidnapped family.
				"
8 Man,"07.11.1963 - 24.12.1964
				","('TV Series',)",56 eps,"['action', 'manga', 'science fiction', 'shounen']","A private investigator working a routine case involving stolen technology is mortally wounded. His only hope for survival comes from sacrificing his humanity to become 8Man -- a powerful cyborg crime-fighter enhanced with a living human brain. Resurrected as the ultimate high-tech vigilante, it is up to 8Man to bring the lawless to justice and put an end to the escalating cycle of violence. A classic animated thriller that will leave you breathless.Source: AnimeNfo
"
8 Man After,"21.08.1993 - 22.11.1993
				","('OVA',)",4 eps,"['action', 'cyborg', 'gunfights', 'human enhancement', 'law and order', 'manga', 'police', 'science fiction', 'seinen', 'thriller']","Whatever happened to 8-Man? Why did he suddenly disappear, never to be seen again? This was the question on Sachiko's mind, as she could not forget about that fateful day when she learned the truth.Times have changed. Crime has a new face and a new mode. Newer technology has become part of the game, but the number one incentive is still power. Power that organised crime is trying to acquire. So what do you do when the criminals turn into near-invincible cyborgs? The answer: bring back an old cyborg crime fighter, one capable of combating this new threat. 8-Man returns to the scene, but he has changed. His mind is different, as he has a new host with a different set of priorities.8-Man's new host is private detective Hazama Itsuru, a hard-nosed, sometimes violent man who likes to do things his way. So what does that mean when he is 8-Man? To put it short, he is quick and usually brutal. And since he still remembers his original life, he also remembers his grudges and his old enemies. A volatile mind in such a powerful body has everyone worried.Source: Absoluteanime.com
"
84 Taekwon V,"03.08.1984
				","('Movie',)",1 ep,"['action', 'kodomo', 'mecha', 'piloted robot', 'science fiction']","The seventh movie of the Robot Taekwon V series.
				"
86,"11.04.2021 - 20.06.2021
				","('TV Series',)",11 eps,"['action', 'mecha', 'military', 'novel', 'piloted robot', 'science fiction', 'seinen', 'tragedy']","* Based on a sci-fi military action light novel series written by Asato Asato and illustrated by Shirabi.The Republic of San Magnolia has long been under attack from the neighboring Giadian Empire's army of unmanned drones known as the Legion. After years of painstaking research, the Republic finally developed autonomous drones of their own, turning the one-sided struggle into a war without casualties-or at least, that's what the government claims.In truth, there is no such thing as a bloodless war. Beyond the fortified walls protecting the eighty-five Republic territories lies the ""nonexistent"" Eighty-Sixth Sector. The young men and women of this forsaken land are branded the Eighty-Six and, stripped of their humanity, pilot the ""unmanned"" weapons into battle...Source: Yen Press
"
86 (2021),"03.10.2021 - 19.03.2022
				","('TV Series',)",12 eps,"['action', 'angst', 'mecha', 'military', 'novel', 'piloted robot', 'science fiction', 'seinen', 'tragedy']","* Based on a sci-fi military action light novel series written by Asato Asato and illustrated by Shirabi.Having bid Lena farewell, Shin and the surviving members of the Spearhead squadron continue into the heart of Legion territory. There, they endure countless hardships until they're rescued by the Federal Republic of Giad, a reformed nation that offers them a second chance at a peaceful life. But it isn't long before a sense of duty calls the Eighty-Six back to the battlefield. Choosing to enlist in the military, they willingly walk back through the gates of hell, this time joined by a peculiar new ally-Frederica Rosenfort: a haughty young girl with a rare ability and wisdom far beyond her years.Source: Yen Press
"
9: Ruler`s Crown,"??.??.2025 - ?
				","('TV Series\n\t\t\t\t',)",TV Series,[],No summary available.
91 Days,"09.07.2016 - 01.10.2016
				","('TV Series',)",12 eps,"['action', 'gunfights', 'historical', 'mafia', 'new', 'seinen', 'tragedy', 'violence']","The story takes place in a city called Lawless during the Prohibition era in the United States. Angelo Lagusa arrives in the city and joins the Vanetti family under the name Avilio in order to seek revenge on those who murdered his parents and younger brother seven years ago. A killing starts kills. Revenge starts new revenge. A story of vengeance and sorrow starts now.Note: The first episode received an early screening at a special event on June 26, 2016, at Marunouchi Piccadilly 3 in Tokyo, and on June 28, 2016, at Animate Ikebukuro in Tokyo. The regular TV broadcast started on July 9, 2016.
"
A A B C,"??.04.1965
				","('Music Video',)",1 ep,[],No summary available.
A Channel +Smile,"11.02.2012 - 27.09.2017
				","('OVA',)",3 eps,"['4-koma manga', 'comedy', 'daily life', 'high school', 'manga', 'school life', 'seinen']","* Based on the 4-koma manga by Kuroda BB, serialised in Houbunsha's Manga Time Kirara Carat magazine since 2008.Following the everyday lives of four high school girls: the flighty Run, the reckless Tooru, the timid Yuuko, and the level-headed Nagi.Mountain of Pancakes — Kitou-sensei injures her hand during class and has to deal with it while Tooru brings cat Tansan to school with her to meet Yutaka and Miho. Later, the girls decide to get pancakes at a café where Miho happens to be working, facing trouble when Yutaka shows up out of the blue.A Picture of a Wish — Yuuko catches a cold so the others pay her a visit and help look after her. Later, the girls get together for the New Year's shrine visit.Let's Have Hot Pot — Tooru goes to great lengths to find Run, who has been away from her classroom during breaks all morning. Later, the girls gather at Tooru's house to have a hot pot party.Source: WikipediaNote: The first episode of this OVA received several early screenings at Animate Yokohama, Animate Akihabara, Gamers Akihabara and Gamers Nanba stores on Saturday, February 11, 2012 and at Akiba Softmap, Gamers Nagoya, Toranoana Nagoya on Sunday, February 12, 2012. It was released on DVD & BD together with the second episode on March 21, 2012.
"
A Channel The Animation,"08.04.2011 - 24.06.2011
				","('TV Series',)",12 eps,"['4-koma manga', 'daily life', 'high school', 'manga', 'school life', 'seinen']","* Based on a 4-koma manga by Kuroda BB, serialised in Manga Time Kirara Carat since 2008.The energetic, long-sleeved, sweets-loving Tooru, finally made it into the same school as her dear childhood friend Run — a flighty, air-headed, klutz, always kind sleepy head. Tooru is very protective of Run, and will not shy away from the use of an aluminium baseball bat — that she always seems to carry around, even in school — to fend off anyone who gets too chummy with Run. Tooru's apparent smaller stature, and younger age by one year (Class 1-7) should thus not fool anyone into underestimating her.Run visits Class 2-4 with her friends the timid, tall and quite busty Yuuko, and the level-headed, glasses-wearing Nagi. Through a series of misunderstandings Tooru sees Yuuko as her rival for Run's affection, and reacts quite violently in her jealousy against Yuuko.Daily life confronts these close friends with all sorts of banal situations, be they in school, in town or at home. But they always pull through... in their own special way.— written by foo2
"
A Day Before Us,"05.10.2018 - 08.02.2019
				","('Web',)",19 eps,"['new', 'romance']","A Day Before Us is an animated korean drama of a special and sweet love story of the following four main characters; Yeo Reum, Ha Eun, Kim Wook, and Yeon Woo.
				"
A Hundred Percents,"07.09.1990
				","('OVA',)",1 ep,[],"* Based on the manga Young Action by Yanagisawa Kimio.A pretty 22-year-old girl leaves university and gets her dream job as a TV newscaster, only to discover that life is tough at the top.
				"
A Log Day of Timbre,"25.02.2011
				","('OVA',)",1 ep,[],"A special follow up version of Mizue Mirai's Timbre A-Z.
				"
A Piece of Phantasmagoria,"??.??.1995
				","('OVA',)",15 eps,"['mina', 'novel', 'short episodes']","Tamura Shigeru anime relaxation, with simple and wonderful history.
				"
A Play,"??.??.2011
				","('Music Video',)",1 ep,[],"Music Video for the group ALT, made by Satoshi Murai.
				"
"A Rank Party o Ridatsu Shita Ore wa, Moto Oshiego-tachi to Meikyuu Shinbu o Mezasu.","12.01.2025 - ?
				","('TV Series',)",24 eps,['fantasy'],"As far as adventuring goes, supporting your party is a thankless job—even more so if you're just a lowly red mage like Yuke Feldio. So, when he gets fed up with his A-rank party of total a-holes, he ditches them for some former students—a trio of girls who just looove his company. Thing is, to conquer the world's greatest dungeon and achieve his dream, he'll have to teach these cuties a thing or two...and he may just learn there's more potential within him (and them) then he ever knew.Source: KodanshaNote: The first two episodes received an early screening at a special event on 17 December 2024 at Shinjuku Piccadilly in Tokyo. The regular TV broadcast started on 12 January 2025.
"
A Smart Experiment,"??.??.2006
				","('OVA',)",1 ep,[],"Bonus short included on the ""Atsushi Wada Works 2002-2010"" DVD.
				"
A Song for You! You? You!!,"25.03.2020
				","('Music Video',)",1 ep,"['idol', 'music', 'new', 'performance', 'the arts']",No summary available.
A Tang Qiyu,"21.07.2017
				","('Movie',)",1 ep,[],"A group of tea pets—cute clay figurines that are good-luck charms for tea drinkers—embark on a magical animated adventure to find a fabled mystic.Source: ""Seattle International Film Festival"" description
"
a_caFe,"??.??.2002
				","('Music Video',)",1 ep,[],"Independent animation by Hotchi Kazuhiro.
				"
A-Girl,"24.09.1993
				","('OVA',)",1 ep,"['daily life', 'manga', 'romance', 'shoujo']","The sisters Mariko and May, along with Mariko's bad-tempered boyfriend, become involved with Ichiro, an arrogant, womanising male model.This OVA has no dialog and is performed against a background of Japanese pop songs composed by Okada Tooru and sung in English by SEIKA. Dialog placards provide continuity, like in old silent films.Source: Collectr's Blog
"
A-Jang.com,"22.11.2001 - 14.02.2002
				","('TV Series',)",13 eps,[],"The spirit world, the real world and the Internet cyber world maintain peace and harmony by the Dimension stone, which was created by the three deities named Dragon King, Zeus and Zoolu. One day, Doddery had a date therefore he switched the stone guard duty with the Super Baby by bribing him with milk. A-jang fights hard with LuPin and Pigu till the end but in that process something goes wrong with the Dimension Stone and due to that unusual energy Spirit world becomes chaotic. Many spirits including LuPin and Pigu falls into cyber space and A-jang just manages to escape.(Source: myanimelist.net)
				"
A-Ko The Versus,"21.07.1990 - 21.08.1990
				","('OVA',)",2 eps,"['action', 'alien', 'comedy', 'dragon', 'humanoid alien', 'new', 'romance', 'science fiction', 'space travel', 'super power', 'violence']","In an alternate universe, A-ko and B-ko are bounty-hunter partners who hunt giant tortoises on a sand planet. When C-ko is kidnapped by a gang of space pirates, A-ko and B-ko set off to rescue her — thinking only of the reward money offered by her wealthy father. Aided by a pint-sized Galactic Police Officer named Maruten, the girls discover that C-ko's abduction is part of a much larger scheme. Gail, the charismatic leader of the space pirates, intends to use C-ko's body as a host for the spirit of Xena, a long-dead sorceress.Source: Wikipedia
"
A-Shuai,"27.04.2019 - ?
				","('Web',)",34 eps,['short episodes'],No summary available.
A-Shuai Di 3 Ji,"11.07.2020 - ?
				","('Web',)",34 eps,[],No summary available.
A-Shuai Di 4 Ji,"17.02.2021 - ?
				","('Web',)",34 eps,['short episodes'],No summary available.
